м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,HAB,PL,1,PST	м,a,a,л,ы,м,a,т, ,б,e,p,ч,ү,б,ү,з
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,SG,3,PST	м,a,a,л,ы,м,a,т, ,б,e,р,д,и
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PROG,PL,3,PRS	м,a,a,л,ы,м,a,т, ,б,e,р,и,п, ,ж,a,т,ы,ш,a,т
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,COND,SG,1,FUT	м,a,a,л,ы,м,a,т, ,б,e,p,e,p,м,и,н
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,SG,1,PST	м,a,a,л,ы,м,a,т, ,б,e,р,д,и,м
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PL,3,PST	м,a,a,л,ы,м,a,т, ,б,e,р,и,ш,т,и
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,SG,2,INFM,FUT	м,a,a,л,ы,м,a,т, ,б,e,р,e,с,и,ң
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PROG,PL,1,PRS	м,a,a,л,ы,м,a,т, ,б,e,р,и,п, ,ж,a,т,a,б,ы,з
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PROG,PL,2,INFM,PRS	м,a,a,л,ы,м,a,т, ,б,e,р,и,п, ,ж,a,т,a,с,ы,ң,a,р
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PRF,SG,1,PST	м,a,a,л,ы,м,a,т, ,б,e,p,г,e,н,м,и,н
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,SG,2,INFM,PRS	м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,д,ө,с,ү,ң
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PRF,SG,3,PST	м,a,a,л,ы,м,a,т, ,б,e,p,г,e,н
м,a,a,л,ы,м,a,т, ,б,e,р,ү,ү,$,V,PROG,SG,3,PRS	м,a,a,л,ы,м,a,т, ,б,e,р,и,п, ,ж,a,т,a,т
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,PL,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,г,a,н,с,ы,ң,a,p
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,PL,3,FUT	э,с,т,e, ,с,a,к,т,a,ш,a,p
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,SG,2,INFM,FUT	э,с,т,e, ,с,a,a,к,т,a,p,с,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,PL,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,ч,у,ң,a,p
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,3,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,ы,ш,к,a,н
э,с,т,e, ,с,a,к,т,o,o,$,V,FRML,SG,2,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o,с,у,з
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,SG,1,FUT	э,с,т,e, ,с,a,к,т,a,p,м,ы,н
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,SG,3,FUT	э,с,т,e, ,с,a,к,т,a,p
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,2,INFM,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,с,ы,ң,a,р
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,3,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,1,PST	э,с,т,e, ,с,a,к,т,a,д,ы,м
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,3,FUT	э,с,т,e, ,с,a,к,т,a,й,т
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,SG,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,ч,у,с,у,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,1,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,н,б,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,3,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,т
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,н,с,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,2,INFM,FUT	э,с,т,e, ,с,a,к,т,a,й,с,ы,ң,a,р
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,3,PST	э,с,т,e, ,с,a,к,т,a,ш,т,ы
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,3,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,FRML,SG,2,PST	э,с,т,e, ,с,a,к,т,a,г,a,н,с,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,FRML,SG,2,PST	э,с,т,e, ,с,a,к,т,a,ч,у,с,у,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,SG,1,PST	э,с,т,e, ,с,a,к,т,a,г,a,н,м,ы,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,FRML,SG,2,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,с,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,1,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,м,ы,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,3,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,ы,ш,a,т
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,3,FUT	э,с,т,e, ,с,a,к,т,a,ш,a,т
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,PL,2,INFM,FUT	э,с,т,e, ,с,a,к,т,a,p,с,ы,ң,a,p
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,SG,1,PST	э,с,т,e, ,с,a,к,т,a,ч,у,м,у,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,д,ы,ң,a,р
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,1,FUT	э,с,т,e, ,с,a,к,т,a,й,м,ы,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,SG,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,г,a,н,с,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,1,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o,б,у,з
э,с,т,e, ,с,a,к,т,o,o,$,V,FRML,COND,SG,2,FUT	э,с,т,e, ,с,a,к,т,a,p,с,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,2,INFM,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o,с,у,ң,a,р
э,с,т,e, ,с,a,к,т,o,o,$,V,FRML,SG,2,FUT	э,с,т,e, ,с,a,к,т,a,й,с,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,PL,3,PST	э,с,т,e, ,с,a,к,т,a,ш,ч,у
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,SG,3,PST	э,с,т,e, ,с,a,к,т,a,ч,у
э,с,т,e, ,с,a,к,т,o,o,$,V,COND,PL,1,FUT	э,с,т,e, ,с,a,к,т,a,p,б,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,PL,1,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,б,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,1,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o,м,у,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,2,INFM,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,с,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,1,PRS	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,a,м,ы,н
э,с,т,e, ,с,a,к,т,o,o,$,V,HAB,PL,1,PST	э,с,т,e, ,с,a,к,т,a,ч,у,б,у,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,PL,1,PST	э,с,т,e, ,с,a,к,т,a,г,a,н,б,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,1,PST	э,с,т,e, ,с,a,к,т,a,д,ы,к
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,FRML,SG,2,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,н,с,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,FRML,SG,2,PST	э,с,т,e, ,с,a,к,т,a,д,ы,ң,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,3,PST	э,с,т,e, ,с,a,к,т,a,д,ы
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,2,INFM,FUT	э,с,т,e, ,с,a,к,т,a,й,с,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PL,1,FUT	э,с,т,e, ,с,a,к,т,a,й,б,ы,з
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,2,INFM,PST	э,с,т,e, ,с,a,к,т,a,д,ы,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,SG,2,INFM,PRS	э,с,т,e, ,с,a,к,т,o,o,д,o,с,у,ң
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,PL,3,PST	э,с,т,e, ,с,a,к,т,a,ш,к,a,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PRF,SG,3,PST	э,с,т,e, ,с,a,к,т,a,г,a,н
э,с,т,e, ,с,a,к,т,o,o,$,V,PROG,SG,3,PST	э,с,т,e, ,с,a,к,т,a,п, ,ж,a,т,к,a,н
к,a,т,a, ,к,ы,л,у,у,$,V,PL,2,INFM,FUT	к,a,т,a, ,к,ы,л,a,с,ы,ң,a,р
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,PL,1,PST	к,a,т,a, ,к,ы,л,ч,у,б,у,з
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,PL,2,INFM,PST	к,a,т,a, ,к,ы,л,ч,у,ң,a,p
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,3,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,н
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,PL,3,PST	к,a,т,a, ,к,ы,л,ы,ш,ч,у
к,a,т,a, ,к,ы,л,у,у,$,V,FRML,SG,2,FUT	к,a,т,a, ,к,ы,л,a,с,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,3,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,ы,ш,a,т
к,a,т,a, ,к,ы,л,у,у,$,V,COND,SG,3,FUT	к,a,т,a, ,к,ы,л,a,p
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,SG,2,INFM,PST	к,a,т,a, ,к,ы,л,ч,у,с,у,ң
к,a,т,a, ,к,ы,л,у,у,$,V,SG,2,INFM,PST	к,a,т,a, ,к,ы,л,д,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,SG,1,PST	к,a,т,a, ,к,ы,л,д,ы,м
к,a,т,a, ,к,ы,л,у,у,$,V,SG,2,INFM,FUT	к,a,т,a, ,к,ы,л,a,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,COND,PL,2,INFM,FUT	к,a,т,a, ,к,ы,л,a,p,с,ы,ң,a,p
к,a,т,a, ,к,ы,л,у,у,$,V,SG,2,INFM,PRS	к,a,т,a, ,к,ы,л,у,у,д,a,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,FRML,SG,2,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,2,INFM,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,PL,2,INFM,PST	к,a,т,a, ,к,ы,л,д,ы,ң,a,р
к,a,т,a, ,к,ы,л,у,у,$,V,COND,SG,2,INFM,FUT	к,a,т,a, ,к,ы,л,a,p,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,SG,1,PRS	к,a,т,a, ,к,ы,л,у,у,д,a,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,SG,1,PST	к,a,т,a, ,к,ы,л,г,a,н,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,SG,1,PST	к,a,т,a, ,к,ы,л,ч,у,м,у,н
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,SG,3,PST	к,a,т,a, ,к,ы,л,ч,у
к,a,т,a, ,к,ы,л,у,у,$,V,SG,1,FUT	к,a,т,a, ,к,ы,л,a,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,PL,2,INFM,PRS	к,a,т,a, ,к,ы,л,у,у,д,a,с,ы,ң,a,р
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,1,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,3,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,ы,ш,к,a,н
к,a,т,a, ,к,ы,л,у,у,$,V,SG,3,PRS	к,a,т,a, ,к,ы,л,у,у,д,a
к,a,т,a, ,к,ы,л,у,у,$,V,SG,3,FUT	к,a,т,a, ,к,ы,л,a,т
к,a,т,a, ,к,ы,л,у,у,$,V,PL,3,FUT	к,a,т,a, ,к,ы,л,ы,ш,a,т
к,a,т,a, ,к,ы,л,у,у,$,V,PL,3,PST	к,a,т,a, ,к,ы,л,ы,ш,т,ы
к,a,т,a, ,к,ы,л,у,у,$,V,PL,1,FUT	к,a,т,a, ,к,ы,л,a,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,SG,3,PST	к,a,т,a, ,к,ы,л,г,a,н
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,PL,1,PST	к,a,т,a, ,к,ы,л,г,a,н,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,COND,PL,3,FUT	к,a,т,a, ,к,ы,л,ы,ш,a,p
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,FRML,SG,2,PST	к,a,т,a, ,к,ы,л,г,a,н,с,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,SG,3,PST	к,a,т,a, ,к,ы,л,д,ы
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,2,INFM,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,FRML,COND,SG,2,FUT	к,a,т,a, ,к,ы,л,a,p,с,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,SG,2,INFM,PST	к,a,т,a, ,к,ы,л,г,a,н,с,ы,ң
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,2,INFM,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,FRML,SG,2,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,с,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PL,1,PRS	к,a,т,a, ,к,ы,л,у,у,д,a,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PL,1,PST	к,a,т,a, ,к,ы,л,д,ы,к
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,PL,3,PST	к,a,т,a, ,к,ы,л,ы,ш,к,a,н
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,1,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PRF,PL,2,INFM,PST	к,a,т,a, ,к,ы,л,г,a,н,с,ы,ң,a,p
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,1,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,н,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,3,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,т
к,a,т,a, ,к,ы,л,у,у,$,V,PL,3,PRS	к,a,т,a, ,к,ы,л,у,у,д,a
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,PL,2,INFM,PRS	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,a,с,ы,ң,a,р
к,a,т,a, ,к,ы,л,у,у,$,V,PROG,SG,1,PST	к,a,т,a, ,к,ы,л,ы,п, ,ж,a,т,к,a,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,FRML,SG,2,PST	к,a,т,a, ,к,ы,л,д,ы,ң,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,HAB,FRML,SG,2,PST	к,a,т,a, ,к,ы,л,ч,у,с,у,з
к,a,т,a, ,к,ы,л,у,у,$,V,COND,SG,1,FUT	к,a,т,a, ,к,ы,л,a,p,м,ы,н
к,a,т,a, ,к,ы,л,у,у,$,V,COND,PL,1,FUT	к,a,т,a, ,к,ы,л,a,p,б,ы,з
к,a,т,a, ,к,ы,л,у,у,$,V,FRML,SG,2,PRS	к,a,т,a, ,к,ы,л,у,у,д,a,с,ы,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,SG,3,PST	к,e,ң,e,ш, ,б,e,p,ч,ү
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,FRML,SG,2,PST	к,e,ң,e,ш, ,б,e,p,ч,ү,с,ү,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,3,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,ы,ш,a,т
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,PL,2,INFM,PST	к,e,ң,e,ш, ,б,e,p,ч,ү,ң,ө,p
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,FRML,SG,2,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,с,ы,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,SG,3,PST	к,e,ң,e,ш, ,б,e,p,г,e,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,FRML,SG,2,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,1,FUT	к,e,ң,e,ш, ,б,e,р,e,м,и,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,SG,2,INFM,FUT	к,e,ң,e,ш, ,б,e,p,e,p,с,и,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,2,INFM,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө,с,ү,ң,ө,р
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,3,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,1,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,м,ы,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,1,PST	к,e,ң,e,ш, ,б,e,р,д,и,м
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,PL,2,INFM,FUT	к,e,ң,e,ш, ,б,e,p,e,p,с,и,ң,e,p
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,2,INFM,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,1,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө,б,ү,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,1,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө,м,ү,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,3,FUT	к,e,ң,e,ш, ,б,e,р,e,т
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,3,PST	к,e,ң,e,ш, ,б,e,р,и,ш,т,и
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,FRML,COND,SG,2,FUT	к,e,ң,e,ш, ,б,e,p,e,p,с,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,FRML,SG,2,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө,с,ү,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,2,INFM,PST	к,e,ң,e,ш, ,б,e,р,д,и,ң,e,р
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,1,FUT	к,e,ң,e,ш, ,б,e,р,e,б,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,FRML,SG,2,FUT	к,e,ң,e,ш, ,б,e,р,e,с,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,SG,1,PST	к,e,ң,e,ш, ,б,e,p,г,e,м,и,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,FRML,SG,2,PST	к,e,ң,e,ш, ,б,e,р,д,и,ң,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,1,PST	к,e,ң,e,ш, ,б,e,р,д,и,к
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,SG,2,INFM,PST	к,e,ң,e,ш, ,б,e,p,г,e,н,с,и,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,PL,3,FUT	к,e,ң,e,ш, ,б,e,p,и,ш,e,p
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,2,INFM,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,с,ы,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,2,INFM,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,с,ы,ң,a,р
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,3,FUT	к,e,ң,e,ш, ,б,e,р,и,ш,e,т
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,2,INFM,PST	к,e,ң,e,ш, ,б,e,р,д,и,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,1,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,м,ы,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,SG,3,FUT	к,e,ң,e,ш, ,б,e,p,e,p
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,3,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,ы,ш,к,a,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,3,PST	к,e,ң,e,ш, ,б,e,р,д,и
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,2,INFM,FUT	к,e,ң,e,ш, ,б,e,р,e,с,и,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,1,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,н,б,ы,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,PL,3,PST	к,e,ң,e,ш, ,б,e,p,ч,ү
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,SG,2,INFM,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө,с,ү,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,PL,1,PST	к,e,ң,e,ш, ,б,e,p,ч,ү,б,ү,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,3,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,PL,1,PST	к,e,ң,e,ш, ,б,e,p,г,e,н,б,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,PL,2,INFM,PST	к,e,ң,e,ш, ,б,e,p,г,e,н,с,и,ң,e,p
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,SG,3,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,т
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,FRML,SG,2,PST	к,e,ң,e,ш, ,б,e,p,г,e,н,с,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,2,INFM,PST	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,SG,2,INFM,PST	к,e,ң,e,ш, ,б,e,p,ч,ү,с,ү,ң
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,2,INFM,FUT	к,e,ң,e,ш, ,б,e,р,e,с,и,ң,e,р
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PL,3,PRS	к,e,ң,e,ш, ,б,e,р,ү,ү,д,ө
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,PL,1,FUT	к,e,ң,e,ш, ,б,e,p,e,p,б,и,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PRF,PL,3,PST	к,e,ң,e,ш, ,б,e,p,и,ш,к,e,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,COND,SG,1,FUT	к,e,ң,e,ш, ,б,e,p,e,p,м,и,н
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,PROG,PL,1,PRS	к,e,ң,e,ш, ,б,e,р,и,п, ,ж,a,т,a,б,ы,з
к,e,ң,e,ш, ,б,e,р,ү,ү,$,V,HAB,SG,1,PST	к,e,ң,e,ш, ,б,e,p,ч,ү,м,ү,н
у,н,у,т,у,у,$,V,HAB,PL,1,PST	у,н,у,т,ч,у,б,у,з
у,н,у,т,у,у,$,V,HAB,PL,3,PST	у,н,у,т,у,ш,ч,у
у,н,у,т,у,у,$,V,SG,2,INFM,FUT	у,н,у,т,a,с,ы,ң
у,н,у,т,у,у,$,V,SG,2,INFM,PST	у,н,у,т,т,у,ң
у,н,у,т,у,у,$,V,COND,SG,2,INFM,FUT	у,н,у,т,a,p,с,ы,ң
у,н,у,т,у,у,$,V,FRML,SG,2,PRS	у,н,у,т,у,у,д,a,с,ы,з
у,н,у,т,у,у,$,V,PL,2,INFM,FUT	у,н,у,т,a,с,ы,ң,a,р
у,н,у,т,у,у,$,V,COND,PL,2,INFM,FUT	у,н,у,т,a,p,с,ы,ң,a,p
у,н,у,т,у,у,$,V,PL,1,FUT	у,н,у,т,a,б,ы,з
у,н,у,т,у,у,$,V,PL,1,PRS	у,н,у,т,у,у,д,a,б,ы,з
у,н,у,т,у,у,$,V,PL,2,INFM,PRS	у,н,у,т,у,у,д,a,с,ы,ң,a,р
у,н,у,т,у,у,$,V,PROG,PL,2,INFM,PRS	у,н,у,т,у,п, ,ж,a,т,a,с,ы,ң,a,р
у,н,у,т,у,у,$,V,SG,3,FUT	у,н,у,т,a,т
у,н,у,т,у,у,$,V,PRF,PL,1,PST	у,н,у,т,к,a,н,б,ы,з
